name,count,sum
WEAPONS,98212,28738706.41
FIRE CONTROL EQPT.,12445,9671569.66
AMMUNITION AND EXPLOSIVES,543,17591758.78
GUIDED MISSLES,6,335560.85
AIRCRAFT/AIRFRAME STRUCTURE COMPTS,801,342556260.88
AIRCRAFT COMPONENTS/ACCESSORIES,871,4911693.18
AIRCRAFT LAUNCH/LAND/GROUND HANDLE,212,5604674.69
"SHIPS, SMALL CRAFT, PONTOON, DOCKS",203,15304235.98
SHIP AND MARINE EQUIPMENT,158,243447.71
RAILWAY EQUIPMENT,1,0.0
"MOTOR VEHICLES, CYCLES, TRAILERS",11218,681431576.76
TRACTORS,382,32184171.34
VEHICULAR EQUIPMENT COMPONENTS,3226,6476929.75
TIRES AND TUBES,461,205837.86
ENGINES AND TURBINES AND COMPONENT,467,7855704.88
ENGINE ACCESSORIES,374,523770.38
MECHANICAL POWER TRANSMISSION EQPT,141,171060.70
BEARINGS,87,58048.68
WOODWORKING MACHINERY AND EQPT,113,128723.39
METALWORKING MACHINERY,1005,3037028.07
SERVICE AND TRADE EQPT,389,608345.37
SPECIAL INDUSTRY MACHINERY,301,3029718.92
AGRICULTURAL MACHINERY AND EQPT,615,671934.20
CONSTRUCT/MINE/EXCAVATE/HIGHWY EQPT,830,43375275.55
MATERIALS HANDLING EQPT,1510,21723086.19
"ROPE, CABLE, CHAIN, FITTINGS",779,407489.70
"REFRIG, AIR CONDIT/CIRCULAT EQPT",1108,2569557.92
FIRE/RESCUE/SAFETY; ENVIRO PROTECT,3620,7030006.50
PUMPS AND COMPRESSORS,624,3514982.16
FURNACE/STEAM/DRYING; NUCL REACTOR,67,51189.92
"PLUMBING, HEATING, WASTE DISPOSAL",422,2128313.85
WATER PURIFICATION/SEWAGE TREATMENT,63,469523.97
"PIPE, TUBING, HOSE, AND FITTINGS",205,70366.11
VALVES,23,31103.94
MAINT/REPAIR SHOP EQPT,1756,22333383.48
HAND TOOLS,10267,8789237.24
MEASURING TOOLS,165,67598.79
HARDWARE AND ABRASIVES,1743,606699.93
PREFAB STRUCTURES/SCAFFOLDING,533,10457956.12
"LUMBER, MILLWORK, PLYWOOD, VENEER",41,2095.55
CONSTRUCTION AND BUILDING MATERIAL,261,72601.92
COMM/DETECT/COHERENT RADIATION,13610,99671602.34
ELECTRICAL/ELECTRONIC EQPT COMPNTS,1451,2861224.71
FIBER OPTIC,19,108091.53
"ELECTRIC WIRE, POWER DISTRIB EQPT",3187,27556557.93
"LIGHTING FIXTURES, LAMPS",3419,5651942.31
"ALARM, SIGNAL, SECURITY DETECTION",295,1063247.36
MEDICAL/DENTAL/VETERINARY EQPT/SUPP,6846,16004441.34
INSTRUMENTS AND LABORATORY EQPT,2542,12112010.20
PHOTOGRAPHIC EQPT,1900,2935182.37
CHEMICALS AND CHEMICAL PRODUCTS,63,9094.98
TRAINING AIDS AND DEVICES,452,3521704.23
ADP EQPT/SOFTWARE/SUPPLIES AND EQPT,5992,7763091.24
FURNITURE,2922,1861895.45
HOUSEHOLD/COMMERC FURNISH/APPLIANCE,1508,1426910.38
FOOD PREPARATION/SERVING EQPT,1278,6275924.17
OFFICE MACH/TEXT PROCESS/VISIB REC,221,215019.34
OFFICE SUPPLIES AND DEVICES,700,68132.91
"BOOKS, MAPS, OTHER PUBLICATIONS",23,739.19
MUSICAL INST/PHONOGRAPH/HOME RADIO,403,367154.19
RECREATIONAL/ATHLETIC EQPT,2361,2897884.62
CLEANING EQPT AND SUPPLIES,476,215339.75
"BRUSHES, PAINTS, SEALERS, ADHESIVES",106,6275.90
CONTAINERS/PACKAGING/PACKING SUPPL,2624,7778293.33
TEXTILE/LEATHER/FUR; TENT; FLAG,1466,11464101.62
"CLOTHING/INDIVIDUAL EQPT, INSIGNIA",31995,4329088.67
TOILETRIES,64,2507.23
AGRICULTURAL SUPPLIES,1,10.0
SUBSISTENCE,33,3034.06
"FUELS, LUBRICANTS, OILS, WAXES",82,25756.20
NONMETALLIC FABRICATED MATERIALS,241,37799.62
NONMETALLIC CRUDE MATERIALS,1,20.04
"METAL BARS, SHEETS, SHAPES",483,313977.92
"ORES, MINERALS AND PRIMARY PRODUCTS",2,159.58
MISCELLANEOUS,294,1372208.24
